EmpID,Age,MaritalStatus,JobRole,Attrition,BusinessTravel,HourlyRate,DailyRate,MonthlyIncome,YearlyIncome,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobSatisfaction,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
49,46,Single,Sales Executive,No,Travel_Frequently,98,1211,5772,69264,Sales,5,4,Marketing,1,Male,3,2,4,4,Yes,21,4,3,80,0,14,4,3,9,6,0,8
50,35,Married,Laboratory Technician,No,Travel_Rarely,36,1229,2269,27228,Research & Development,8,1,Life Sciences,4,Male,4,1,4,1,No,19,3,4,80,0,1,2,3,1,0,0,1
51,48,Single,Laboratory Technician,Yes,Travel_Rarely,98,626,5381,64572,Research & Development,1,2,Life Sciences,1,Male,2,3,3,9,Yes,13,3,4,80,0,23,2,3,1,0,0,0
52,28,Single,Laboratory Technician,Yes,Travel_Rarely,50,1434,3441,41292,Research & Development,5,4,Technical Degree,3,Male,3,1,3,1,Yes,13,3,3,80,0,2,3,2,2,2,2,2
53,44,Divorced,Sales Executive,No,Travel_Rarely,75,1488,5454,65448,Sales,1,5,Marketing,2,Female,3,2,1,5,Yes,21,4,3,80,1,9,2,2,4,3,1,3
54,35,Married,Healthcare Representative,No,Non-Travel,79,1097,9884,118608,Research & Development,11,2,Medical,3,Male,2,3,1,2,Yes,13,3,3,80,1,10,3,3,4,0,2,3
55,26,Married,Sales Executive,No,Travel_Rarely,47,1443,4157,49884,Sales,23,3,Marketing,3,Female,2,2,4,7,Yes,19,3,3,80,1,5,2,2,2,2,0,0
56,33,Single,Research Director,No,Travel_Frequently,98,515,13458,161496,Research & Development,1,2,Life Sciences,1,Female,3,3,4,1,Yes,12,3,3,80,0,15,1,3,15,14,8,12
57,35,Married,Sales Executive,No,Travel_Frequently,71,853,9069,108828,Sales,18,5,Life Sciences,2,Male,3,3,1,1,No,22,4,4,80,1,9,3,2,9,8,1,8
58,35,Married,Laboratory Technician,No,Travel_Rarely,30,1142,4014,48168,Research & Development,23,4,Medical,3,Female,3,1,1,3,Yes,15,3,3,80,1,4,3,3,2,2,2,2
59,31,Divorced,Laboratory Technician,No,Travel_Rarely,48,655,5915,70980,Research & Development,7,4,Life Sciences,4,Male,3,2,4,3,No,22,4,4,80,1,10,3,2,7,7,1,7
60,37,Divorced,Manufacturing Director,No,Travel_Rarely,51,1115,5993,71916,Research & Development,1,4,Life Sciences,1,Male,2,2,3,1,No,18,3,3,80,1,7,2,4,7,5,0,7
61,32,Married,Manufacturing Director,No,Travel_Rarely,33,427,6162,73944,Research & Development,1,3,Medical,1,Male,3,2,4,1,Yes,22,4,2,80,1,9,3,3,9,8,7,8
62,38,Single,Laboratory Technician,No,Travel_Frequently,50,653,2406,28872,Research & Development,29,5,Life Sciences,4,Female,3,2,4,1,No,11,3,4,80,0,10,2,3,10,3,9,9
63,50,Divorced,Research Director,No,Travel_Rarely,43,989,18740,224880,Research & Development,7,2,Medical,2,Female,2,5,3,5,Yes,12,3,4,80,1,29,2,2,27,3,13,8
64,59,Single,Sales Executive,No,Travel_Rarely,99,1435,7637,91644,Sales,25,3,Life Sciences,1,Female,3,3,1,7,No,11,3,4,80,0,28,3,2,21,16,7,9
65,36,Divorced,Healthcare Representative,No,Travel_Rarely,59,1223,10096,121152,Research & Development,8,3,Technical Degree,3,Female,3,3,3,1,No,13,3,2,80,3,17,2,3,17,14,12,8
66,55,Divorced,Manager,No,Travel_Rarely,33,836,14756,177072,Research & Development,8,3,Medical,4,Female,3,4,3,2,Yes,14,3,3,80,3,21,2,3,5,0,0,2
67,36,Single,Manufacturing Director,No,Travel_Frequently,95,1195,6499,77988,Research & Development,11,3,Life Sciences,2,Male,2,2,2,1,No,13,3,3,80,0,6,3,3,6,5,0,3
68,45,Divorced,Research Scientist,No,Travel_Rarely,59,1339,9724,116688,Research & Development,7,3,Life Sciences,2,Male,3,3,1,2,No,17,3,3,80,1,25,2,3,1,0,0,0
69,35,Married,Research Scientist,No,Travel_Frequently,79,664,2194,26328,Research & Development,1,3,Medical,2,Male,3,1,1,4,No,13,3,4,80,1,5,2,2,3,2,1,2
70,36,Married,Research Scientist,Yes,Travel_Rarely,79,318,3388,40656,Research & Development,9,3,Medical,4,Male,2,1,3,0,Yes,17,3,1,80,1,2,0,2,1,0,0,0
71,59,Single,Sales Executive,No,Travel_Frequently,57,1225,5473,65676,Sales,1,1,Life Sciences,1,Female,2,2,3,7,No,11,3,4,80,0,20,2,2,4,3,1,3
72,29,Married,Research Scientist,No,Travel_Rarely,76,1328,2703,32436,Research & Development,2,3,Life Sciences,3,Male,3,1,2,0,No,23,4,4,80,1,6,3,3,5,4,0,4
73,31,Single,Research Scientist,No,Travel_Rarely,87,1082,2501,30012,Research & Development,1,4,Medical,3,Male,3,1,2,1,No,17,3,2,80,0,1,4,3,1,1,1,0
74,32,Married,Research Scientist,No,Travel_Rarely,66,548,6220,74640,Research & Development,1,3,Life Sciences,2,Male,3,2,2,1,No,17,3,2,80,2,10,3,3,10,4,0,9
75,36,Married,Laboratory Technician,No,Travel_Rarely,55,132,3038,36456,Research & Development,6,3,Life Sciences,2,Female,4,1,4,3,No,12,3,2,80,0,5,3,3,1,0,0,0
76,31,Single,Manufacturing Director,No,Travel_Rarely,61,746,4424,53088,Research & Development,8,4,Life Sciences,3,Female,3,2,4,1,No,23,4,4,80,0,11,2,3,11,7,1,8
77,35,Single,Sales Executive,No,Travel_Rarely,32,776,4312,51744,Sales,1,4,Marketing,3,Male,2,2,1,0,No,14,3,2,80,0,16,2,3,15,13,2,8
78,45,Married,Research Director,No,Travel_Rarely,52,193,13245,158940,Research & Development,6,4,Other,4,Male,3,3,1,4,Yes,14,3,2,80,0,17,3,4,0,0,0,0
79,37,Single,Research Director,No,Travel_Rarely,30,397,13664,163968,Research & Development,7,4,Medical,1,Male,3,3,3,4,No,13,3,1,80,0,16,3,4,5,2,0,2
80,46,Divorced,Human Resources,No,Travel_Rarely,80,945,5021,60252,Human Resources,5,2,Medical,2,Male,3,2,2,8,Yes,22,4,4,80,1,16,2,3,4,2,0,2
81,30,Married,Laboratory Technician,No,Travel_Rarely,55,852,5126,61512,Research & Development,1,1,Life Sciences,4,Male,2,2,4,1,Yes,12,3,3,80,2,10,1,2,10,8,3,0
82,35,Single,Research Scientist,No,Travel_Rarely,30,1214,2859,34308,Research & Development,1,3,Medical,2,Male,2,1,3,1,No,18,3,1,80,0,6,3,3,6,4,0,4
83,55,Married,Sales Executive,No,Travel_Rarely,70,111,10239,122868,Sales,1,2,Life Sciences,1,Male,3,3,4,3,No,14,3,4,80,1,24,4,3,1,0,1,0
84,38,Divorced,Research Scientist,No,Non-Travel,79,573,5329,63948,Research & Development,6,3,Medical,2,Female,1,2,4,7,Yes,12,3,4,80,3,17,3,3,13,11,1,9
85,34,Married,Manufacturing Director,No,Travel_Rarely,94,1153,4325,51900,Research & Development,1,2,Medical,1,Male,3,2,2,1,No,15,3,3,80,0,5,2,3,5,2,1,3
86,56,Single,Manufacturing Director,No,Travel_Rarely,49,1400,7260,87120,Research & Development,7,3,Life Sciences,4,Male,1,3,4,4,No,11,3,1,80,0,37,3,2,6,4,0,2
87,23,Divorced,Sales Representative,No,Travel_Rarely,62,541,2322,27864,Sales,2,1,Technical Degree,3,Male,3,1,1,3,No,13,3,3,80,1,3,3,3,0,0,0,0
88,51,Married,Laboratory Technician,No,Travel_Rarely,96,432,2075,24900,Research & Development,9,4,Life Sciences,4,Male,3,1,4,3,No,23,4,2,80,2,10,4,3,4,2,0,3
89,30,Married,Healthcare Representative,No,Travel_Rarely,99,288,4152,49824,Research & Development,2,3,Life Sciences,3,Male,2,2,4,1,No,19,3,1,80,3,11,3,3,11,10,10,8
90,46,Single,Sales Executive,Yes,Travel_Rarely,64,669,9619,115428,Sales,9,2,Medical,3,Male,2,3,4,1,No,16,3,4,80,0,9,3,3,9,8,4,7
91,40,Married,Healthcare Representative,No,Travel_Frequently,78,530,13503,162036,Research & Development,1,4,Life Sciences,3,Male,2,4,2,1,No,22,4,4,80,1,22,3,2,22,3,11,11
92,51,Single,Sales Executive,No,Travel_Rarely,71,632,5441,65292,Sales,21,4,Marketing,3,Male,3,2,4,0,Yes,22,4,4,80,0,11,2,1,10,7,1,0
93,30,Divorced,Sales Executive,No,Travel_Rarely,63,1334,5209,62508,Sales,4,2,Medical,3,Female,2,2,2,1,Yes,12,3,2,80,3,11,4,2,11,8,2,7
94,46,Married,Healthcare Representative,No,Travel_Frequently,40,638,10673,128076,Research & Development,1,3,Medical,3,Male,2,3,1,2,Yes,13,3,3,80,1,21,5,2,10,9,9,5
95,32,Single,Sales Executive,No,Travel_Rarely,87,1093,5010,60120,Sales,6,4,Medical,2,Male,3,2,3,1,No,16,3,1,80,0,12,0,3,11,8,5,7
96,54,Married,Research Director,No,Travel_Rarely,60,1217,13549,162588,Research & Development,2,4,Technical Degree,1,Female,3,3,3,9,No,12,3,1,80,1,16,5,1,4,3,0,3
97,24,Married,Sales Executive,No,Travel_Rarely,33,1353,4999,59988,Sales,3,2,Other,1,Female,3,2,3,0,No,21,4,1,80,1,4,2,2,3,2,0,2
98,28,Married,Sales Executive,No,Non-Travel,43,120,4221,50652,Sales,4,3,Medical,2,Male,3,2,3,1,No,15,3,2,80,0,5,3,4,5,4,0,4
99,58,Single,Sales Executive,No,Travel_Rarely,37,682,13872,166464,Sales,10,4,Medical,4,Male,3,4,3,0,No,13,3,3,80,0,38,1,2,37,10,1,8
100,44,Married,Laboratory Technician,No,Non-Travel,67,489,2042,24504,Research & Development,23,3,Medical,2,Male,3,2,2,4,No,12,3,3,80,1,17,3,4,3,2,1,2
101,37,Divorced,Human Resources,Yes,Travel_Rarely,63,807,2073,24876,Human Resources,6,4,Human Resources,3,Male,3,1,1,4,Yes,22,4,4,80,0,7,3,3,3,2,0,2
102,32,Single,Research Scientist,No,Travel_Rarely,71,827,2956,35472,Research & Development,1,1,Life Sciences,4,Male,3,1,1,1,No,13,3,4,80,0,1,2,3,1,0,0,0
103,20,Single,Laboratory Technician,Yes,Travel_Frequently,66,871,2926,35112,Research & Development,6,3,Life Sciences,4,Female,2,1,4,1,Yes,18,3,2,80,0,1,5,3,1,0,1,0
104,34,Single,Research Scientist,No,Travel_Rarely,41,665,4809,57708,Research & Development,6,4,Other,1,Female,3,2,3,1,No,14,3,3,80,0,16,3,3,16,13,2,10
105,37,Divorced,Healthcare Representative,No,Non-Travel,100,1040,5163,61956,Research & Development,2,2,Life Sciences,3,Male,2,2,4,5,No,14,3,4,80,1,17,2,4,1,0,0,0
106,59,Married,Manager,No,Non-Travel,32,1420,18844,226128,Human Resources,2,4,Human Resources,3,Female,2,5,4,9,No,21,4,4,80,1,30,3,3,3,2,2,2
107,50,Married,Research Director,No,Travel_Frequently,73,1115,18172,218064,Research & Development,1,3,Life Sciences,1,Female,3,5,2,3,Yes,19,3,1,80,0,28,1,2,8,3,0,7
108,25,Single,Sales Executive,Yes,Travel_Rarely,46,240,5744,68928,Sales,5,3,Marketing,3,Male,2,2,3,1,Yes,11,3,4,80,0,6,1,3,6,4,0,3
109,25,Married,Research Scientist,No,Travel_Rarely,64,1280,2889,34668,Research & Development,7,1,Medical,4,Male,2,1,4,1,No,11,3,3,80,2,2,2,3,2,2,2,1
110,22,Single,Laboratory Technician,No,Travel_Rarely,59,534,2871,34452,Research & Development,15,3,Medical,2,Female,3,1,4,1,No,15,3,3,80,0,1,5,3,0,0,0,0
111,51,Single,Healthcare Representative,No,Travel_Frequently,30,1456,7484,89808,Research & Development,1,4,Medical,1,Female,2,3,1,3,No,20,4,3,80,0,23,1,2,13,12,12,8
112,34,Single,Laboratory Technician,Yes,Travel_Frequently,66,658,6074,72888,Research & Development,7,3,Life Sciences,1,Male,1,2,3,1,Yes,24,4,4,80,0,9,3,3,9,7,0,6
113,54,Single,Manager,No,Non-Travel,30,142,17328,207936,Human Resources,26,3,Human Resources,4,Female,4,4,4,2,Yes,12,3,3,80,0,23,3,3,5,3,4,4
114,24,Married,Laboratory Technician,No,Travel_Rarely,52,1127,2774,33288,Research & Development,18,1,Life Sciences,2,Male,3,1,3,0,No,12,3,3,80,1,6,2,3,5,3,1,2
115,34,Divorced,Research Scientist,No,Travel_Rarely,45,1031,4505,54060,Research & Development,6,4,Life Sciences,3,Female,2,2,2,6,No,15,3,3,80,1,12,3,3,1,0,0,0
116,37,Single,Sales Executive,No,Travel_Rarely,87,1189,7428,89136,Sales,3,3,Life Sciences,3,Male,3,3,4,2,No,12,3,1,80,0,12,3,3,5,3,1,3
117,34,Single,Manager,No,Travel_Rarely,45,1354,11631,139572,Research & Development,5,3,Medical,3,Female,2,3,1,2,No,12,3,4,80,0,14,6,3,11,10,5,8
118,36,Married,Sales Executive,No,Travel_Frequently,92,1467,9738,116856,Sales,11,2,Technical Degree,2,Female,3,3,4,0,No,14,3,3,80,1,10,6,3,9,7,2,8
119,36,Divorced,Laboratory Technician,No,Travel_Rarely,39,922,2835,34020,Research & Development,3,2,Life Sciences,1,Female,3,1,4,5,No,22,4,1,80,1,7,2,3,1,0,0,0
120,43,Married,Manager,No,Travel_Frequently,92,394,16959,203508,Sales,26,2,Life Sciences,3,Male,3,4,4,1,Yes,12,3,4,80,2,25,3,4,25,12,4,12
121,30,Divorced,Research Scientist,No,Travel_Frequently,96,1312,2613,31356,Research & Development,23,3,Life Sciences,1,Male,1,1,3,1,No,25,4,3,80,3,10,2,2,10,7,0,9
122,33,Married,Sales Executive,No,Non-Travel,95,750,6146,73752,Sales,22,2,Marketing,3,Male,3,2,2,0,No,13,3,1,80,1,8,2,4,7,7,0,7
123,56,Married,Research Scientist,Yes,Travel_Rarely,72,441,4963,59556,Research & Development,14,4,Life Sciences,2,Female,3,1,2,9,Yes,18,3,1,80,3,7,2,3,5,4,4,3
124,51,Single,Research Director,No,Travel_Rarely,51,684,19537,234444,Research & Development,6,3,Life Sciences,1,Male,3,5,3,7,No,13,3,3,80,0,23,5,3,20,18,15,15
125,31,Married,Sales Executive,Yes,Travel_Rarely,76,249,6172,74064,Sales,6,4,Life Sciences,2,Male,1,2,3,4,Yes,18,3,2,80,0,12,3,2,7,7,7,7
126,26,Married,Research Scientist,No,Travel_Rarely,46,841,2368,28416,Research & Development,6,3,Other,3,Female,2,1,2,1,No,19,3,3,80,0,5,3,2,5,4,4,3
127,58,Married,Healthcare Representative,Yes,Travel_Rarely,94,147,10312,123744,Research & Development,23,4,Medical,4,Female,3,3,4,1,No,12,3,4,80,1,40,3,2,40,10,15,6
128,19,Single,Sales Representative,Yes,Travel_Rarely,50,528,1675,20100,Sales,22,1,Marketing,4,Male,3,1,3,1,Yes,19,3,4,80,0,0,2,2,0,0,0,0
129,22,Married,Laboratory Technician,No,Travel_Rarely,100,594,2523,30276,Research & Development,2,1,Technical Degree,3,Male,3,1,4,0,No,14,3,3,80,1,3,2,3,2,1,2,1
130,49,Married,Manufacturing Director,No,Travel_Rarely,96,470,6567,78804,Research & Development,20,4,Medical,3,Female,3,2,1,1,No,14,3,3,80,0,16,2,2,15,11,5,11
131,43,Single,Research Scientist,No,Travel_Frequently,72,957,4739,56868,Research & Development,28,3,Medical,2,Female,4,1,3,4,No,12,3,4,80,0,18,2,3,3,2,1,2
132,50,Single,Sales Executive,No,Travel_Frequently,77,809,9208,110496,Sales,12,3,Marketing,3,Female,3,3,4,4,No,11,3,4,80,0,16,3,3,2,2,2,1
133,31,Married,Sales Executive,Yes,Travel_Rarely,71,542,4559,54708,Sales,20,3,Life Sciences,2,Female,1,2,3,3,Yes,11,3,3,80,1,4,2,3,2,2,2,2
134,41,Divorced,Sales Executive,No,Travel_Rarely,96,802,8189,98268,Sales,9,1,Life Sciences,3,Male,3,3,3,3,Yes,13,3,3,80,1,12,2,3,9,7,0,7
135,26,Married,Human Resources,No,Travel_Rarely,61,1355,2942,35304,Human Resources,25,1,Life Sciences,3,Female,3,1,3,1,No,23,4,4,80,1,8,3,3,8,7,5,7
136,36,Divorced,Manufacturing Director,No,Travel_Rarely,84,216,4941,59292,Research & Development,6,2,Medical,2,Male,3,2,2,6,No,20,4,4,80,2,7,0,3,3,2,0,1
137,51,Single,Manufacturing Director,Yes,Travel_Frequently,53,1150,10650,127800,Research & Development,8,4,Life Sciences,1,Male,1,3,4,2,No,15,3,4,80,0,18,2,3,4,2,0,3
138,39,Married,Sales Executive,No,Travel_Rarely,47,1329,5902,70824,Sales,4,4,Life Sciences,4,Female,2,2,3,4,No,14,3,3,80,1,17,1,4,15,11,5,9
139,25,Married,Sales Executive,No,Travel_Rarely,41,959,8639,103668,Sales,28,3,Life Sciences,1,Male,2,2,3,2,No,18,3,4,80,0,6,3,3,2,2,2,2
140,30,Married,Human Resources,No,Travel_Rarely,48,1240,6347,76164,Human Resources,9,3,Human Resources,3,Male,3,2,4,0,Yes,19,3,4,80,0,12,2,1,11,9,4,7
141,32,Single,Laboratory Technician,Yes,Travel_Rarely,41,1033,4200,50400,Research & Development,9,3,Medical,1,Female,3,1,1,7,No,22,4,1,80,0,10,2,4,5,4,0,4
142,45,Single,Research Scientist,No,Travel_Rarely,83,1316,3452,41424,Research & Development,29,3,Medical,3,Male,3,1,4,5,No,13,3,2,80,0,9,2,2,6,5,0,3
143,38,Single,Research Scientist,No,Travel_Rarely,32,364,4317,51804,Research & Development,3,5,Technical Degree,4,Female,3,2,3,3,Yes,20,4,2,80,0,19,2,3,3,2,2,2
144,30,Single,Research Scientist,No,Travel_Rarely,75,438,2632,31584,Research & Development,18,3,Life Sciences,1,Female,3,1,3,1,No,14,3,3,80,0,5,4,2,5,4,0,4
145,32,Divorced,Sales Executive,No,Travel_Frequently,35,689,4668,56016,Sales,9,2,Medical,4,Male,1,2,4,0,No,17,3,4,80,3,9,2,4,8,7,0,7
146,30,Divorced,Research Scientist,No,Travel_Rarely,84,201,3204,38448,Research & Development,5,3,Technical Degree,4,Female,3,1,1,5,No,14,3,4,80,1,8,3,3,3,2,2,2
147,30,Single,Laboratory Technician,No,Travel_Rarely,35,1427,2720,32640,Research & Development,2,1,Medical,2,Male,2,1,4,0,No,13,3,4,80,0,6,3,3,5,3,1,2
